"Transaction ID",Date,Year,"Customer ID","Customer Name",Gender,Age,"age group",Product,"Product Name",Category,Quantity,"Unit Price",avg_unit_price,"Total Sale","Payment Method",Location,"Sales Rep ID","Sales Rep","Discount Applied","Return Status"
TXN00001,2023-03-19,2023,CUST00001,"Olu Aisha",Female,27,"Young Adult",Keyboard,Electronics,Electronics,8,181,0.040,1455,"Credit Card",Abuja,SP079,"Benita Damilola",$26,Returned
TXN00002,2021-11-27,2021,CUST00002,"Kelechi Emeka",Female,43,"Middle Age","Laptop Stand",Accessories,Accessories,15,244,0.050,3663,POS,Owerri,SP025,"Olamide Olufunke",$20,Returned
TXN00003,2021-12-17,2021,CUST00003,"Ezinne Nwafor",Male,31,Adult,"Wireless Mouse",Electronics,Electronics,12,58,0.010,702,POS,Kano,SP005,"Amarachi Oyinade",10%,"Not Returned"
TXN00004,2022-12-12,2022,CUST00004,"Ada Chinonso",Female,38,Adult,"Phone Case",Accessories,Accessories,13,123,0.020,1605,PayPal,Enugu,SP018,"Segun Nkem",19%,Returned
TXN00005,2023-11-05,2023,CUST00005,"Onyinye Ugochukwu",Male,32,Adult,"Laptop Stand",Accessories,Accessories,1,9,0.000,9,POS,Abuja,SP089,"Oyinade Ronke",$21,"Not Returned"
TXN00006,2022-03-28,2022,CUST00006,"Micheal Olufunke",Male,25,"Young Adult","USB Hub",Accessories,Accessories,5,263,0.050,1315,POS,Owerri,SP016,"Elijah Onyinye",None,"Not Returned"
TXN00007,2024-02-22,2024,CUST00007,"Chizor Olufunke",Male,55,Old,"Phone Case",Accessories,Accessories,1,88,0.020,88,POS,"Port Harcourt",SP081,"Chijioke Temitope",None,Returned
TXN00008,2024-03-25,2024,CUST00008,"Olu Olamide",Male,51,Old,"Power Bank",Electronics,Electronics,4,233,0.050,934,Cash,Lagos,SP061,"Chike Obinna",5%,"Not Returned"
TXN00009,2023-01-27,2023,CUST00009,"Bola Uzochi",Male,46,"Middle Age","Power Bank",Electronics,Electronics,8,161,0.030,1290,"Credit Card",Abuja,SP008,"Femi Juliet",8%,"Not Returned"
TXN00010,2022-08-19,2022,CUST00010,"Ronke Uche",Male,58,Old,"USB Hub",Accessories,Accessories,13,264,0.050,3438,"Credit Card",Jos,SP035,"Olamide Uche",6%,"Not Returned"
TXN00011,2024-02-22,2024,CUST00011,"Seyi Fidelis",Female,51,Old,Charger,Accessories,Accessories,4,285,0.060,1141,"Bank Transfer",Abuja,SP096,"Micheal Shola",$40,Returned
TXN00012,2022-04-12,2022,CUST00012,"Chinonso Chidera",Male,52,Old,"Flash Drive",Accessories,Accessories,9,163,0.030,1473,"Debit Card","Port Harcourt",SP086,"Chinonso Hassan",None,"Not Returned"
TXN00013,2023-11-18,2023,CUST00013,"Bola Adaobi",Female,33,Adult,Monitor,Electronics,Electronics,15,103,0.020,1556,"Credit Card","Port Harcourt",SP066,"Oyinade Tola",$24,"Not Returned"
